

 Program UNIPLOT                         version 05.29.00
 _______________
 (c) Fugro Engineers B.V., Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT_WFS1_01.000                         
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq_Seafloor.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :13:19:13
 Project number                        :N6016/02 (2)                                                                                        
 Date of testing                       :10-May-2015                                                                                         
 Location                              :CPT_WFS1_1                                                                                          
 Test name                             :CPT_WFS1_1
 Penetrometer                          :CP15-CF75PB20SN2
 Serial no                             :1701-2483

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
  773   15.440   3240.81     8.6197     8.3140     8.6190     0.3100     0.0168    -0.0188     3.3096           
  774   15.460   3241.82     7.4300     7.1591     7.4645     0.2903     0.1360    -0.0101     3.6746           
  775   15.480   3242.92     6.2497     6.0421     6.3478     0.2644     0.2642     0.0131     3.9038           
  776   15.500   3243.93     5.2091     5.0336     5.3397     0.2242     0.3587     0.0311     3.9994           
  777   15.520   3245.01     4.6941     4.5909     4.8974     0.1743     0.5543     0.0717     3.5967           
  778   15.540   3245.97     4.5666     4.5658     4.8728     0.1270     0.8335     0.1257     2.7553           
  779   15.560   3246.97     4.4522     4.5673     4.8746     0.1017     1.0750     0.1861     2.2754           
  780   15.580   3248.02     4.4164     4.5788     4.8865     0.1032     1.0989     0.2104     2.3377           
  781   15.600   3249.07     4.3264     4.4736     4.7816     0.1075     1.0975     0.2075     2.4473           
  782   15.620   3250.15     4.1776     4.3421     4.6505     0.1148     1.1393     0.2233     2.7337           
  783   15.640   3251.22     4.1040     4.2938     4.6026     0.1246     1.1896     0.2401     3.0220           
  784   15.660   3252.32     4.0937     4.2752     4.5844     0.1302     1.1785     0.2367     3.1778           
  785   15.680   3253.38     4.0430     4.2315     4.5411     0.1347     1.2023     0.2432     3.3313           
  786   15.700   3254.43     4.0837     4.2900     4.6000     0.1359     1.2097     0.2499     3.3280           
  787   15.720   3255.34     4.0420     4.2483     4.5586     0.1322     1.2752     0.2525     3.2688           
  788   15.740   3256.54     3.9321     4.1640     4.4747     0.1303     1.2906     0.2725     3.3039           
  789   15.760   3257.60     3.9111     4.1466     4.4577     0.1287     1.3304     0.2758     3.2835           
  790   15.780   3258.60     3.9234     4.1692     4.4807     0.1254     1.3105     0.2804     3.2042           
  791   15.800   3259.71     3.9769     4.2224     4.5342     0.1274     1.3245     0.2768     3.1988           
  792   15.820   3260.81     3.8961     4.1170     4.4292     0.1262     1.2384     0.2699     3.2333           
  793   15.840   3261.88     3.9044     4.1106     4.4232     0.1286     1.2524     0.2620     3.2928           
  794   15.860   3262.93     3.8943     4.1047     4.4176     0.1303     1.2584     0.2649     3.3462           
  795   15.880   3263.93     3.8706     4.0789     4.3923     0.1353     1.2414     0.2656     3.4876           
  796   15.900   3264.99     3.8406     4.0572     4.3709     0.1340     1.2575     0.2720     3.4833           
  797   15.920   3266.04     3.8532     4.0625     4.3766     0.1354     1.2573     0.2676     3.5328           
  798   15.940   3267.06     3.9791     4.1859     4.5004     0.1338     1.2169     0.2585     3.3910           
  799   15.960   3268.15     3.9672     4.1546     4.4695     0.1323     1.1970     0.2495     3.3027           
  800   15.980   3269.26     3.7698     3.9636     4.2789     0.1331     1.2136     0.2655     3.4741           
  801   16.000   3270.42     3.7186     3.9189     4.2346     0.1343     1.2289     0.2727     3.6146           
  802   16.020   3271.42     3.6693     3.8632     4.1793     0.1338     1.1937     0.2728     3.6247           
  803   16.040   3272.42     3.6465     3.8207     4.1371     0.1277     1.1629     0.2638     3.5070           
  804   16.060   3273.43     3.6815     3.8316     4.1484     0.1392     1.0901     0.2482     3.7927           
  805   16.080   3274.47     3.7498     3.8885     4.2057     0.1470     1.0923     0.2378     3.9215           
  806   16.100   3275.52     3.6954     3.8344     4.1519     0.1519     1.0960     0.2415     4.0989           
  807   16.120   3276.57     3.6603     3.7694     4.0873     0.1558     0.9414     0.2269     4.2450           
  808   16.140   3277.71     3.6550     3.7127     4.0310     0.1558     0.9151     0.1977     4.2214           
  809   16.160   3278.77     3.4411     3.5060     3.8247     0.1571     0.9228     0.2144     4.4789           
  810   16.180   3279.82     3.2991     3.3762     3.6953     0.1593     0.9550     0.2314     4.7714           
  811   16.200   3280.83     3.3245     3.4235     3.7430     0.1493     1.0113     0.2437     4.5038           
  812   16.220   3281.88     3.3559     3.4681     3.7879     0.1445     1.0414     0.2498     4.3168           
  813   16.240   3282.93     3.3392     3.4590     3.7792     0.1433     1.0625     0.2559     4.2956           
  814   16.260   3284.00     3.3372     3.4784     3.7990     0.1325     1.1165     0.2694     3.9742           
  815   16.280   3285.06     3.3803     3.5481     3.8690     0.1295     1.1858     0.2821     3.8348           
  816   16.300   3286.19     3.4031     3.5890     3.9104     0.1282     1.2294     0.2911     3.7741           
  817   16.320   3287.26     3.4032     3.6226     3.9443     0.1264     1.3313     0.3106     3.7061           
  818   16.340   3288.32     3.3648     3.6109     3.9330     0.1201     1.3173     0.3294     3.5399           
  819   16.360   3289.38     3.5402     3.7358     4.0583     0.1207     1.2279     0.2864     3.4777           
  820   16.380   3290.42     3.6312     3.8151     4.1380     0.1288     1.2193     0.2733     3.5684           
  821   16.400   3291.47     3.8425     4.0242     4.3475     0.1370     1.1861     0.2581     3.6225           
  822   16.420   3292.51     4.1170     4.2723     4.5959     0.1363     1.0957     0.2286     3.3451           
  823   16.440   3293.60     4.3657     4.4349     4.7589     0.1339     0.8561     0.1739     3.0947           
  824   16.460   3294.65     3.9597     3.9515     4.2759     0.1355     0.7194     0.1487     3.2768           
  825   16.480   3295.76     3.5610     3.5702     3.8950     0.1377     0.8683     0.1768     3.7131           
  826   16.500   3296.82     3.3162     3.3777     3.7029     0.1418     0.9404     0.2237     4.2089           
  827   16.520   3297.88     3.2755     3.3523     3.6778     0.1326     0.9438     0.2365     4.0469           
  828   16.540   3298.83     3.2856     3.3671     3.6930     0.1225     1.0028     0.2389     3.7335           
  829   16.560   3299.93     3.3064     3.4132     3.7395     0.1308     1.0477     0.2536     3.9589           
  830   16.580   3300.93     3.2971     3.4269     3.7536     0.1369     1.1015     0.2688     4.1407           
  831   16.600   3302.00     3.2720     3.4055     3.7325     0.1391     1.0789     0.2732     4.2571           
  832   16.620   3303.06     3.3224     3.4457     3.7732     0.1365     1.0679     0.2633     4.1205           
  833   16.640   3304.21     3.2864     3.4129     3.7407     0.1381     1.0893     0.2682     4.1698           
  834   16.660   3305.32     3.2135     3.3509     3.6791     0.1451     1.1092     0.2811     4.4904           
  835   16.680   3306.38     3.2030     3.3365     3.6651     0.1406     1.1101     0.2798     4.3929           
  836   16.700   3307.32     3.1991     3.3417     3.6707     0.1405     1.1164     0.2860     4.3888           
  837   16.720   3308.38     3.3015     3.4302     3.7595     0.1395     1.0895     0.2692     4.2429           
  838   16.740   3309.43     3.3142     3.4461     3.7758     0.1354     1.1277     0.2703     4.0796           
  839   16.760   3310.52     3.2978     3.4626     3.7926     0.1300     1.1678     0.2918     3.9432           
  840   16.780   3311.60     3.3869     3.5491     3.8795     0.1326     1.1916     0.2832     3.9631           
  841   16.800   3312.65     3.6234     3.8240     4.1548     0.1361     1.2938     0.2869     3.8280           
  842   16.820   3313.81     4.0907     4.3009     4.6321     0.1376     1.2270     0.2607     3.4891           
  843   16.840   3314.88     4.7276     4.8553     5.1869     0.1388     1.0247     0.1906     3.0569           
  844   16.860   3315.83     4.9703     5.0176     5.3496     0.1316     0.8442     0.1464     2.6511           
  845   16.880   3316.88     5.0746     5.1144     5.4468     0.1222     0.9626     0.1403     2.3838           
  846   16.900   3317.99     5.3128     5.3497     5.6824     0.1430     0.8707     0.1330     2.7584           
  847   16.920   3319.13     5.9078     5.9757     6.3089     0.1744     0.9725     0.1316     3.0238           
  848   16.940   3320.15     7.5773     7.6862     8.0197     0.2013     1.1081     0.1152     2.7976           
  849   16.960   3321.26    11.8656    11.8985    12.2323     0.2416     0.6493     0.0606     2.2398           
  850   16.980   3322.38    17.8580    17.6489    17.9832     0.2680     0.0726     0.0073     1.6278           
  851   17.000   3323.54    22.9890    22.6666    23.0012     0.2837     0.0454    -0.0062     1.2998           
  852   17.020   3324.57    25.2525    24.9414    25.2764     0.3026     0.0095    -0.0045     1.2250           
  853   17.040   3325.60    27.6180    27.2777    27.6132     0.3231    -0.0090    -0.0067     1.1775           
  854   17.060   3326.63    30.1796    29.8499    30.1857     0.3666     0.0138    -0.0052     1.2491           
  855   17.080   3327.71    32.4973    32.1380    32.4742     0.4122    -0.0881    -0.0070     1.2770           
  856   17.100   3328.82    34.5302    34.1473    34.4838     0.4361    -0.1156    -0.0082     1.2709           
  857   17.120   3329.92    35.9170    35.5335    35.8704     0.4411    -0.1154    -0.0079     1.2325           
  858   17.140   3331.06    36.3142    35.9234    36.2607     0.5056    -0.1332    -0.0083     1.3896           
  859   17.160   3332.17    36.0661    35.6683    36.0060     0.5594    -0.1466    -0.0088     1.5501           
  860   17.180   3333.19    36.0168    35.6180    35.9560     0.5643    -0.1481    -0.0089     1.5657           
  861   17.200   3334.31    36.5425    36.1365    36.4750     0.5352    -0.1734    -0.0092     1.4700           
  862   17.220   3335.32    36.0375    35.6144    35.9533     0.4762    -0.2070    -0.0105     1.3180           
  863   17.240   3336.38    34.2094    33.7824    34.1216     0.4128    -0.2143    -0.0113     1.1992           
  864   17.260   3337.49    31.8136    31.3830    31.7226     0.3321    -0.2146    -0.0124     1.0373           
  865   17.280   3338.60    30.4506    30.0236    30.3635     0.3212    -0.2041    -0.0127     1.0467           
  866   17.300   3339.71    28.7858    28.3688    28.7092     0.3511    -0.1776    -0.0125     1.2016           
  867   17.320   3340.82    27.4704    27.0558    27.3965     0.3832    -0.1684    -0.0129     1.3733           
  868   17.340   3341.92    25.7376    25.3290    25.6701     0.3916    -0.1717    -0.0132     1.4889           
  869   17.360   3342.97    24.2262    23.8056    24.1471     0.4075    -0.1858    -0.0152     1.6519           
  870   17.380   3343.99    21.7145    21.2958    21.6377     0.4026    -0.1808    -0.0168     1.8104           
  871   17.400   3345.02    19.2393    18.8224    19.1647     0.4212    -0.1654    -0.0187     2.1527           
  872   17.420   3346.10    17.3617    16.9550    17.2976     0.4503    -0.1610    -0.0193     2.5484           
  873   17.440   3347.18    15.1430    14.7306    15.0736     0.4549    -0.1669    -0.0231     2.8884           
  874   17.460   3348.22    13.2609    12.8478    13.1912     0.4054    -0.1689    -0.0265     2.9389           
  875   17.480   3349.32    11.7001    11.2840    11.6278     0.3611    -0.1716    -0.0308     3.0114           
  876   17.500   3350.47    10.3131     9.9009    10.2451     0.3175    -0.1557    -0.0340     2.9558           
  877   17.520   3351.49     8.9709     8.5734     8.9179     0.2831    -0.0982    -0.0351     3.0620           
  878   17.540   3352.52     8.9727     8.6218     8.9667     0.2632     0.0089    -0.0222     3.0501           
  879   17.560   3353.56    12.3598    12.0188    12.3641     0.2535     0.0205    -0.0139     2.1513           
  880   17.580   3354.65    15.6320    15.3017    15.6473     0.2601     0.0154    -0.0091     1.7136           
  881   17.600   3355.73    16.7648    16.4096    16.7556     0.2973    -0.0345    -0.0121     1.7705           
  882   17.620   3356.82    16.0017    15.6314    15.9778     0.3453    -0.0676    -0.0149     2.1283           
  883   17.640   3357.88    14.7567    14.3763    14.7231     0.3867    -0.0879    -0.0178     2.5719           
  884   17.660   3359.02    14.1421    13.7602    14.1074     0.4056    -0.0740    -0.0188     2.8341           
  885   17.680   3360.07    13.6316    13.2595    13.6071     0.3874    -0.0488    -0.0177     2.8213           
  886   17.700   3361.13    13.6432    13.2765    13.6244     0.3526    -0.0388    -0.0167     2.5824           
  887   17.720   3362.15    13.8375    13.4783    13.8266     0.3286    -0.0217    -0.0151     2.3889           
  888   17.740   3363.22    14.6799    14.3198    14.6685     0.3116    -0.0205    -0.0143     2.1309           
  889   17.760   3364.31    14.1394    13.7803    14.1294     0.2955    -0.0486    -0.0146     2.0679           
  890   17.780   3365.38    13.1243    12.7372    13.0866     0.2743    -0.0997    -0.0210     2.0422           
  891   17.800   3366.44    11.2243    10.8281    11.1780     0.2580    -0.1122    -0.0266     2.2257           
  892   17.820   3367.60     9.7047     9.3098     9.6601     0.2343    -0.0996    -0.0306     2.3172           
  893   17.840   3368.65     8.3702     7.9850     8.3356     0.2311    -0.0684    -0.0327     2.6281           
  894   17.860   3369.67     7.3253     6.9560     7.3070     0.2402    -0.0354    -0.0320     3.1777           
  895   17.880   3370.69     6.3834     6.0224     6.3738     0.2271    -0.0134    -0.0335     3.5054           
  896   17.900   3371.82     5.7329     5.3867     5.7385     0.2022     0.0217    -0.0308     3.4707           
  897   17.920   3372.82     5.5998     5.2595     5.6117     0.1846     0.0338    -0.0287     3.2963           
  898   17.940   3373.93     5.5380     5.2026     5.5551     0.1760     0.0501    -0.0267     3.1581           
  899   17.960   3374.94     5.3345     5.0111     5.3640     0.1744     0.0886    -0.0218     3.2281           
  900   17.980   3376.10     5.1248     4.8205     5.1737     0.1833     0.1174    -0.0131     3.5167           
  901   18.000   3377.24     5.0743     4.7666     5.1202     0.1938     0.1129    -0.0148     3.8123           
  902   18.020   3378.31     4.9569     4.6578     5.0118     0.1901     0.1331    -0.0106     3.7856           
  903   18.040   3379.24     4.8555     4.5573     4.9117     0.1761     0.1352    -0.0103     3.6253           
  904   18.060   3380.22     4.8387     4.5413     4.8961     0.1663     0.1366    -0.0097     3.4329           
  905   18.080   3381.26     4.8325     4.5383     4.8935     0.1625     0.1545    -0.0078     3.3606           
  906   18.100   3382.27     4.7777     4.4997     4.8553     0.1610     0.2066     0.0008     3.3608           
  907   18.120   3383.43     4.9237     4.6677     5.0236     0.1574     0.2525     0.0121     3.2747           
  908   18.140   3384.54     5.6993     5.4482     5.8045     0.1499     0.2364     0.0127     2.7398           
  909   18.160   3385.65     6.2215     5.9441     6.3008     0.1494     0.1624     0.0012     2.4588           
  910   18.180   3386.68     6.2817     5.9749     6.3320     0.1460     0.0998    -0.0104     2.3225           
  911   18.200   3387.72     6.0943     5.7685     6.1259     0.1439     0.0682    -0.0185     2.3337           
  912   18.220   3388.76     5.6233     5.2963     5.6541     0.1425     0.0846    -0.0205     2.4802           
  913   18.240   3389.76     5.0150     4.7010     5.0592     0.1420     0.1196    -0.0164     2.7758           
  914   18.260   3390.82     4.6039     4.3041     4.6627     0.1503     0.1460    -0.0099     3.2312           
  915   18.280   3391.93     4.4633     4.1676     4.5266     0.1628     0.1580    -0.0077     3.6498           
  916   18.300   3393.00     4.6327     4.3403     4.6997     0.1740     0.1582    -0.0054     3.7975           
  917   18.320   3394.13     4.8042     4.5142     4.8739     0.1847     0.1688    -0.0038     3.8788           
  918   18.340   3395.17     4.9634     4.6726     5.0327     0.1896     0.1617    -0.0039     3.8625           
  919   18.360   3396.22     5.1110     4.8174     5.1779     0.1994     0.1613    -0.0051     3.9079           
  920   18.380   3397.22     5.0851     4.7972     5.1581     0.2067     0.1844    -0.0021     4.0547           
  921   18.400   3398.32     5.0158     4.7372     5.0985     0.2125     0.2029     0.0027     4.2329           
  922   18.420   3399.38     5.0143     4.7446     5.1062     0.2188     0.2287     0.0073     4.3636           
  923   18.440   3400.43     5.0765     4.8149     5.1770     0.2265     0.2461     0.0114     4.4794           
  924   18.460   3401.50     5.2336     4.9854     5.3478     0.2201     0.2959     0.0175     4.2391           
  925   18.480   3402.65     5.7034     5.4871     5.8498     0.2156     0.3907     0.0297     3.9397           
  926   18.500   3403.76     9.7637     9.6284     9.9915     0.1832     0.6447     0.0370     2.3137           
  927   18.520   3404.82    18.1802    18.1004    18.4640     0.1630     0.6539     0.0274     1.0331           
  928   18.540   3405.88    26.6330    26.4582    26.8222     0.1511     0.3564     0.0100     0.5912           
  929   18.560   3406.88    30.9664    30.6822    31.0465     0.1517     0.1836     0.0002     0.4939           
  930   18.580   3407.93    33.1524    32.8642    33.2289     0.1618     0.1856    -0.0001     0.5004           
  931   18.600   3409.04    34.5695    34.2682    34.6332     0.1820     0.1732    -0.0010     0.5281           
  932   18.620   3410.15    35.0593    34.7649    35.1304     0.2074     0.1655    -0.0005     0.5934           
  933   18.640   3411.26    36.0454    35.7385    36.1044     0.2382     0.1063    -0.0013     0.6634           
  934   18.660   3412.38    37.5280    37.1849    37.5511     0.2596     0.0245    -0.0035     0.6973           
  935   18.680   3413.44    39.6517    39.2837    39.6503     0.2788    -0.0213    -0.0048     0.7077           
  936   18.700   3414.52    41.8886    41.4951    41.8620     0.2695    -0.0752    -0.0060     0.6486           
  937   18.720   3415.54    44.1331    43.7331    44.1004     0.2507    -0.0826    -0.0061     0.5811           
  938   18.740   3416.69    46.1779    45.7684    46.1362     0.2623    -0.1005    -0.0063     0.5734           
  939   18.760   3417.76    47.7732    47.3659    47.7339     0.2769    -0.0940    -0.0059     0.5836           
  940   18.780   3418.88    48.5286    48.1188    48.4873     0.3025    -0.0956    -0.0059     0.6236           
  941   18.800   3420.02    48.2692    47.8586    48.2274     0.3361    -0.0913    -0.0060     0.6955           
  942   18.820   3421.15    47.5703    47.1722    47.5414     0.3580    -0.0669    -0.0054     0.7511           
  943   18.840   3422.26    47.3271    46.9328    47.3024     0.3770    -0.0523    -0.0053     0.7964           
  944   18.860   3423.32    47.3163    46.9282    47.2982     0.3873    -0.0493    -0.0049     0.8185           
  945   18.880   3424.38    47.3224    46.9236    47.2940     0.3822    -0.0759    -0.0055     0.8070           
  946   18.900   3425.49    47.7146    47.3102    47.6809     0.3662    -0.0820    -0.0057     0.7714           
  947   18.920   3426.54    48.4682    48.0591    48.4302     0.3501    -0.0913    -0.0058     0.7287           
  948   18.940   3427.65    49.5698    49.1610    49.5325     0.3227    -0.0883    -0.0057     0.6517           
  949   18.960   3428.76    49.8520    49.4431    49.8150     0.3050    -0.0865    -0.0056     0.6121           
  950   18.980   3429.97    50.0326    49.6299    50.0021     0.2947    -0.0739    -0.0053     0.5885           
  951   19.000   3431.04    49.8169    49.4137    49.7863     0.2826    -0.0708    -0.0053     0.5676           
  952   19.020   3432.13    50.0866    49.6877    50.0607     0.2909    -0.0520    -0.0051     0.5814           
  953   19.040   3433.17    50.4295    50.0403    50.4137     0.2819    -0.0350    -0.0046     0.5590           
  954   19.060   3434.22    50.6143    50.2324    50.6062     0.2713    -0.0119    -0.0042     0.5373           
  955   19.080   3435.32    51.0356    50.6573    51.0315     0.2717    -0.0190    -0.0040     0.5346           
  956   19.100   3436.43    52.5228    52.1346    52.5091     0.2642    -0.0261    -0.0043     0.5099           
  957   19.120   3437.54    53.7754    53.3924    53.7674     0.2553    -0.0137    -0.0039     0.4754           
  958   19.140   3438.71    54.6204    54.2308    54.6061     0.2574    -0.0346    -0.0042     0.4719           
  959   19.160   3439.82    54.7905    54.4044    54.7801     0.2678    -0.0258    -0.0040     0.4884           
  960   19.180   3440.88    54.5454    54.1543    54.5304     0.2826    -0.0323    -0.0042     0.5181           
  961   19.200   3441.99    54.1188    53.7311    54.1075     0.3007    -0.0163    -0.0041     0.5555           
  962   19.220   3443.04    53.9940    53.6075    53.9843     0.3240    -0.0181    -0.0040     0.5982           
  963   19.240   3444.13    53.4349    53.0551    53.4323     0.3385    -0.0024    -0.0037     0.6302           
  964   19.260   3445.23    52.8293    52.4504    52.8280     0.3515    -0.0038    -0.0037     0.6634           
  965   19.280   3446.38    52.7618    52.3844    52.7624     0.3663     0.0017    -0.0037     0.6944           
  966   19.300   3447.50    52.5962    52.2199    52.5982     0.3868     0.0239    -0.0036     0.7348           
  967   19.320   3448.63    52.2108    51.8421    52.2209     0.4024     0.0189    -0.0033     0.7692           
  968   19.340   3449.71    51.6857    51.3138    51.6929     0.3986     0.0164    -0.0034     0.7702           
  969   19.360   3450.77    51.1123    50.7417    51.1212     0.3912     0.0209    -0.0034     0.7644           
  970   19.380   3451.88    50.3645    49.9950    50.3749     0.3886     0.0242    -0.0034     0.7672           
  971   19.400   3452.93    50.4133    50.0475    50.4277     0.3903     0.0335    -0.0032     0.7779           
  972   19.420   3454.02    50.5130    50.1478    50.5284     0.3751     0.0241    -0.0031     0.7421           
  973   19.440   3455.15    49.9579    49.5897    49.9707     0.3541     0.0349    -0.0033     0.7082           
  974   19.460   3456.22    49.1241    48.7441    49.1255     0.3381    -0.0055    -0.0039     0.6868           
  975   19.480   3457.43    48.8308    48.4570    48.8387     0.3326     0.0519    -0.0036     0.6813           
  976   19.500   3458.54    48.6957    48.3285    48.7107     0.3215     0.0371    -0.0033     0.6586           
  977   19.520   3459.65    48.1144    47.7493    48.1318     0.3237     0.0455    -0.0032     0.6698           
  978   19.540   3460.65    47.1856    46.8238    47.2067     0.3347     0.0501    -0.0031     0.7075           
  979   19.560   3461.71    46.5603    46.1884    46.5716     0.3459     0.0557    -0.0037     0.7419           
  980   19.580   3462.81    46.3008    45.9503    46.3340     0.3316     0.0686    -0.0025     0.7155           
  981   19.600   3463.88    45.0147    44.6687    45.0527     0.3256     0.1079    -0.0024     0.7208           
  982   19.620   3464.94    44.1507    43.8075    44.1920     0.3366     0.0898    -0.0022     0.7615           
  983   19.640   3466.13    42.9438    42.5761    42.9609     0.3302     0.0243    -0.0037     0.7645           
  984   19.660   3467.31    41.4945    41.1168    41.5020     0.3276     0.0055    -0.0043     0.7825           
  985   19.680   3468.32    39.9721    39.5865    39.9721     0.3235     0.0010    -0.0050     0.8025           
  986   19.700   3469.38    38.2095    37.8206    38.2066     0.3210    -0.0034    -0.0054     0.8354           
  987   19.720   3470.43    36.6010    36.2085    36.5948     0.3151    -0.0259    -0.0059     0.8581           
  988   19.740   3471.49    34.7460    34.3444    34.7311     0.3061    -0.0361    -0.0068     0.8753           
  989   19.760   3472.60    32.6627    32.2577    32.6448     0.2898    -0.0460    -0.0074     0.8775           
  990   19.780   3473.71    30.4631    30.0522    30.4397     0.2719    -0.0546    -0.0084     0.8793           
  991   19.800   3474.81    28.4622    28.0520    28.4399     0.2626    -0.0498    -0.0090     0.9097           
  992   19.820   3475.88    26.8846    26.4746    26.8628     0.2639    -0.0503    -0.0094     0.9659           
  993   19.840   3476.97    25.0992    24.6913    25.0799     0.2851    -0.0495    -0.0099     1.1118           
  994   19.860   3478.02    22.9360    22.5222    22.9112     0.3119    -0.0611    -0.0115     1.3291           
  995   19.880   3479.07    20.1333    19.7201    20.1095     0.3285    -0.0571    -0.0130     1.5975           
  996   19.900   3480.15    17.1971    16.7901    17.1799     0.3186    -0.0269    -0.0143     1.8014           
  997   19.920   3481.17    14.7872    14.4029    14.7931     0.3278     0.0430    -0.0128     2.1721           
  998   19.940   3482.22    13.2915    12.9492    13.3397     0.3321     0.1459    -0.0065     2.4547           
  999   19.960   3483.32    11.8265    11.5132    11.9040     0.3057     0.2088    -0.0013     2.4907           
 1000   19.980   3484.49    10.3185    10.0446    10.4359     0.2872     0.2651     0.0079     2.6637           
 1001   20.000   3485.54     9.4975     9.2458     9.6374     0.2879     0.3966     0.0144     2.9665           
 1002   20.020   3486.60     8.9075     8.7478     9.1399     0.2770     0.6456     0.0404     3.0613           
 1003   20.040   3487.63     8.9935     8.8812     9.2736     0.2469     0.6249     0.0525     2.7319           
 1004   20.060   3488.63     8.7568     8.5995     8.9923     0.2303     0.5515     0.0419     2.6264           
 1005   20.080   3489.65     8.9426     8.8106     9.2038     0.2290     0.6808     0.0478     2.5704           
 1006   20.100   3490.73     9.7602     9.6928    10.0864     0.2317     0.7995     0.0594     2.4228           
 1007   20.120   3491.88    10.9339    10.8547    11.2487     0.2512     0.6214     0.0505     2.3481           
 1008   20.140   3492.97    11.5227    11.2490    11.6433     0.2760     0.1705     0.0077     2.4328           
 1009   20.160   3494.10    11.4409    11.1012    11.4959     0.2987     0.1599    -0.0063     2.5686           
 1010   20.180   3495.10    10.6394    10.3324    10.7275     0.2699     0.2481     0.0008     2.4829           
 1011   20.200   3496.15     9.7523     9.4681     9.8636     0.2521     0.2865     0.0067     2.5483           
 1012   20.220   3497.17     9.7026     9.4671     9.8629     0.2259     0.4764     0.0188     2.3650           
 1013   20.240   3498.22    12.1413    12.0508    12.4470     0.2440     0.8222     0.0434     2.0486           
 1014   20.260   3499.32    15.1086    15.1753    15.5719     0.3234     0.9855     0.0592     2.1878           
 1015   20.280   3500.43    16.7095    16.5074    16.9043     0.3916     0.2325     0.0159     2.3745           
 1016   20.300   3501.54    17.1508    16.7964    17.1937     0.3734     0.0866    -0.0060     2.1653           
 1017   20.320   3502.65    15.9847    15.6258    16.0236     0.3464     0.1101    -0.0071     2.1279           
 1018   20.340   3503.71    14.6772    14.3535    14.7516     0.3437     0.2452    -0.0018     2.3069           
 1019   20.360   3504.77    13.8225    13.6086    14.0071     0.3513     0.6216     0.0174     2.5344           
 1020   20.380   3505.88    14.8347    14.7961    15.1950     0.3661     1.0678     0.0442     2.6234           
 1021   20.400   3506.93    19.1558    19.3041    19.7033     0.3493     1.1218     0.0572     1.9868           
 1022   20.420   3508.02    26.8070    26.6345    27.0342     0.3167     0.3574     0.0130     1.3532           
 1023   20.440   3509.10    34.7730    34.4463    34.8463     0.3112     0.1170    -0.0008     0.9722           
 1024   20.460   3510.21    40.0922    39.7598    40.1602     0.3235     0.2350    -0.0011     0.8485           
 1025   20.480   3511.38    44.2837    43.9662    44.3669     0.3343     0.1590    -0.0002     0.7613           
 1026   20.500   3512.59    45.8338    45.4479    45.8491     0.3499     0.0078    -0.0037     0.7644           
 1027   20.520   3513.73    45.1842    44.7754    45.1769     0.3752    -0.0225    -0.0050     0.8250           
 1028   20.540   3514.81    44.8196    44.4055    44.8074     0.4118    -0.0337    -0.0053     0.9191           
 1029   20.560   3515.88    44.5304    44.1120    44.5143     0.4434    -0.0415    -0.0055     0.9942           
 1030   20.580   3516.88    44.4396    44.0160    44.4186     0.4522    -0.0505    -0.0058     1.0176           
 1031   20.600   3517.83    44.6833    44.2598    44.6629     0.4441    -0.0447    -0.0058     0.9945           
 1032   20.620   3518.93    44.7109    44.2924    44.6958     0.4283    -0.0317    -0.0055     0.9571           
 1033   20.640   3520.10    43.9209    43.5033    43.9071     0.4102    -0.0399    -0.0055     0.9287           
 1034   20.660   3521.25    41.8221    41.3940    41.7982     0.3875    -0.0644    -0.0064     0.9106           
 1035   20.680   3522.32    38.4740    38.0370    38.4415     0.3449    -0.0859    -0.0075     0.8755           
 1036   20.700   3523.32    34.8432    34.3934    34.7983     0.3055    -0.1160    -0.0091     0.8652           
 1037   20.720   3524.38    31.2320    30.7769    31.1822     0.2997    -0.1169    -0.0106     0.9479           
 1038   20.740   3525.43    29.0563    28.6025    29.0082     0.3172    -0.1153    -0.0113     1.0873           
 1039   20.760   3526.50    27.0717    26.6153    27.0214     0.3569    -0.1254    -0.0123     1.3046           
