,z [m],Soil type,Tertiary clay,Total unit weight [kN/m3],Water unit weight [kN/m3],Effective unit weight [kN/m3],Hydrostatic pressure [kPa],Effective vertical stress [kPa],Total vertical stress [kPa],qc [MPa],phi [deg],h/d [-],h/D [-],beta_c [rad],beta_p [rad],qp [MPa],A qp [MPa],"qp,j+1 [MPa]","qp,q+1 [MPa]",qb [MPa]
53,10.600000000000001,Sand,False,19.62,10.0,9.620000000000001,106.00000000000001,101.97200000000002,207.97200000000004,11.499999999999991,28.570452047473648,296.9187675070028,13.250000000000002,1.5707963267948966,1.5707963267948966,11.499999999999991,11.499999999999991,2.8069713081375873,2.7632550016745165,2.7341629197412463
54,10.8,Sand,False,19.62,10.0,9.620000000000001,108.0,103.89600000000002,211.89600000000002,11.0,28.22213809314411,302.52100840336135,13.5,1.5707963267948966,1.5707963267948966,11.0,11.0,3.1725852135119474,2.7612130389102463,2.7113574552461914
55,11.0,Sand,False,19.62,10.0,9.620000000000001,110.0,105.82000000000001,215.82000000000002,5.0,23.598514070229303,308.1232492997199,13.75,1.5707963267948966,1.5707963267948966,5.0,5.0,3.254133598358977,2.7419980884545603,2.6800712825265145
56,11.200000000000001,Sand,False,19.62,10.0,9.620000000000001,112.00000000000001,107.74400000000001,219.74400000000003,6.4999999999999964,25.032768285366195,313.72549019607845,14.0,1.5707963267948966,1.5707963267948966,6.4999999999999964,6.4999999999999964,3.3989803865322075,2.718076542329233,2.6408645106456228
57,11.4,Sand,False,19.62,10.0,9.620000000000001,114.0,109.668,223.668,5.2,23.619312684158597,319.327731092437,14.25,1.5707963267948966,1.5707963267948966,5.2,5.2,3.479350886783208,2.686271927337677,2.59115412796101
58,11.600000000000001,Sand,False,19.62,10.0,9.620000000000001,116.00000000000001,111.59200000000001,227.59200000000004,6.2000000000000055,24.55283146443751,324.92997198879556,14.500000000000002,1.5707963267948966,1.5707963267948966,6.2000000000000055,6.2000000000000055,3.6007598534605076,2.6492276791992424,2.5293774326775242
59,11.8,Sand,False,19.62,10.0,9.620000000000001,118.0,113.51600000000002,231.51600000000002,9.5,26.90887435533175,330.5322128851541,14.75,1.5707963267948966,1.5707963267948966,9.5,9.5,3.8640134449998325,2.604782175311859,2.45444682964213
60,12.0,Sand,False,19.62,10.0,9.620000000000001,120.0,115.44,235.44,11.0,27.63684471435997,336.1344537815126,15.0,1.5707963267948966,1.5707963267948966,11.0,11.0,4.1824568450167146,2.545964229050102,2.383496866179344
61,12.200000000000001,Sand,False,19.62,10.0,9.620000000000001,122.00000000000001,117.36400000000002,239.36400000000003,9.999999999999991,27.009304311334024,341.7366946778711,15.25,1.5707963267948966,1.5707963267948966,9.999999999999991,9.999999999999991,4.442064708307843,2.469524628906169,2.3219753238884504
62,12.4,Sand,False,19.62,10.0,9.620000000000001,124.0,119.28800000000001,243.288,7.5,25.272770023755037,347.33893557422965,15.5,1.5707963267948966,1.5707963267948966,7.5,7.5,4.578525070699605,2.3773884509202476,2.2730056422067872
63,12.600000000000001,Sand,False,19.62,10.0,9.620000000000001,126.00000000000001,121.21200000000002,247.21200000000005,2.799999999999991,19.238915365848584,352.94117647058823,15.750000000000002,1.5707963267948966,1.5707963267948966,2.799999999999991,2.799999999999991,2.799999999999991,2.2745746640222717,2.237527952022737
64,12.8,Sand,False,19.62,10.0,9.620000000000001,128.0,123.13600000000002,251.13600000000002,2.5,18.428609884005017,358.54341736694676,16.0,1.5707963267948966,1.5707963267948966,2.5,2.5,2.5,2.2500323579979296,2.2500323579979296
65,13.0,Sand,False,19.62,10.0,9.620000000000001,130.0,125.06,255.06,3.2,19.876413254033977,364.1456582633053,16.25,1.5707963267948966,1.5707963267948966,3.2,3.2,2.5312375,2.238356517595635,2.238356517595635
66,13.200000000000001,Sand,False,19.62,10.0,9.620000000000001,132.0,126.98400000000001,258.98400000000004,7.499999999999952,24.91022765060881,369.74789915966386,16.5,1.5707963267948966,1.5707963267948966,7.499999999999952,7.499999999999952,2.7529685265624977,2.2246762204978516,2.2246762204978516
67,13.4,Sand,False,19.62,10.0,9.620000000000001,134.0,128.90800000000002,262.908,2.2,17.327909009366866,375.3501400560224,16.75,1.5707963267948966,1.5707963267948966,2.2,2.2,2.2,2.2,2.2
68,13.600000000000001,Sand,False,19.62,10.0,9.620000000000001,136.0,130.83200000000002,266.83200000000005,12.5,27.651836828172026,380.95238095238096,17.0,1.5707963267948966,1.5707963267948966,12.5,12.5,2.6596375,2.6596375,2.6596375
